Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Abeomelomys sevia	Pogomys sevia	Rodentia			1.49		61.4		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Acinonyx jubatus	Acinonyx jubatus	Carnivora			2.449		22200		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Acinonyx jubatus	Acinonyx jubatus	Carnivora			NA		40820		M	1	NA	Crile & Quiring 1940	
Acomys cahirinus	Acomys cahirinus	Rodentia			0.76		44		NA	1	Adult	Glendenning 1998	Age class estimated from body mass
Acomys wilsoni	Acomys wilsonii	Rodentia			0.58		18.5		M&F	NA	Adult	Mace 1981	"Body mass averaged from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Acrobates pygmaeus	Acrobates pygmaeus	Diprotodontia	0.35	0.05	0.3626		8.9	2.1	NA	14	Not Adult	Ashwell 2007	Age class estimated from body mass
Aepyceros melampus	Aepyceros melanus	Cetartiodactyla			175		57610		M	2	Adult	Crile & Quiring 1940	Age class estimated from body mass
Aepyceros melampus	Aepyceros melanus	Cetartiodactyla			149		37860		M	2	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Aepyprymnus rufescens	Aepyprymnus rufescens	Diprotodontia	12.3	1.6	12.7428		1693	846	NA	3	Not Adult	Ashwell 2007	Age class estimated from body mass
Aeromys tephromelas	Aeromys tephromelas	Rodentia			10.34		1189		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Aethomys chrysophilus	Aethomys chrysophilus	Rodentia			1.25		117		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Aethomys hindei	Aethomys hindei	Rodentia			1.42		146.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
